"Easy Cash","نقدي سهل"
"Cash","نقد"
"Entry Type","نوع المعاملة"
"Cash In","إيداع نقدي"
"Cash Out","سحب نقدي"
"Company","الشركة"
"Posting Date","تاريخ التسجيل"
"Treasury","الخزينة"
"Cash Account","حساب النقد"
"Currency","العملة"
"Reference No","رقم المرجع"
"Category Lines","بنود الفئات"
"Category","الفئة"
"Account","الحساب"
"Amount","المبلغ"
"Cost Center","مركز التكلفة"
"Project","المشروع"
"Description","الوصف"
"Total Amount","إجمالي المبلغ"
"Remarks","ملاحظات"
"Amended From","معدل من"
"Easy Cash Entry","معاملة نقدية سهلة"
"Easy Cash Category","فئة نقدية سهلة"
"Easy Cash Entry Detail","تفاصيل معاملة نقدية سهلة"
"Easy Cash Entry Register","سجل معاملات نقدية سهلة"
"Easy Cash Category Summary","ملخص فئات نقدية سهلة"
"Category Name","اسم الفئة"
"Type","النوع"
"Disabled","معطل"
"Treasury Name","اسم الخزينة"
"Responsible Person","الشخص المسؤول"
"View General Ledger","عرض دفتر الأستاذ العام"
"New Cash Entry","معاملة نقدية جديدة"
"New Payment","سداد جديد"
"Cash Out categories must use an Expense, Asset, Payable, or Liability account","فئات السحب النقدي يجب أن تستخدم حساب مصروف أو أصول أو دائن أو التزامات"
"Cash In categories must use an Income, Receivable, or Asset account","فئات الإيداع النقدي يجب أن تستخدم حساب إيرادات أو مدينة أو أصول"
"Account must be a leaf account, not a group","الحساب يجب أن يكون حساب فرعي وليس مجموعة"
"Account does not belong to company {0}","الحساب لا ينتمي للشركة {0}"
"Cannot change Type or Account because this category is used in Easy Cash Entries. Disable it and create a new category instead.","لا يمكن تغيير النوع أو الحساب لأن هذه الفئة مستخدمة في معاملات نقدية سهلة. عطلها وإنشئ فئة جديدة بدلاً من ذلك."
"Cannot delete Treasury with active Easy Cash Entries","لا يمكن حذف الخزينة التي بها معاملات نقدية سهلة نشطة"
"Cannot change Account because this Treasury is used in Easy Cash Entries. Disable it and create a new Treasury instead.","لا يمكن تغيير الحساب لأن هذه الخزينة مستخدمة في معاملات نقدية سهلة. عطلها وإنشئ خزينة جديدة بدلاً من ذلك."
"Account must be of type Cash or Bank","الحساب يجب أن يكون من نوع نقد أو بنك"
"Cash account not found. Please check treasury setup.","لم يتم العثور على حساب النقد. يرجى التحقق من إعدادات الخزينة."
"At least one category line is required","مطلوب至少 بنود فئة واحدة"
"Category {0} is disabled","الفئة {0} معطلة"
"Category {0} is of type {1}, but entry type is {2}","الفئة {0} من نوع {1}, لكن نوع المعاملة هو {2}"
"Treasury {0} is disabled","الخزينة {0} معطلة"
"Treasury does not belong to company {0}","الخزينة لا تنتمي للشركة {0}"
"Multi-currency entries are not supported yet.","المعاملات متعددة العملات غير مدعومة بعد."
"Entry currency ({0}) must match company currency ({1}).","عملة المعاملة ({0}) يجب أن تتطابق مع عملة الشركة ({1})."
"Row {0}: Account {1} currency ({2}) does not match entry currency ({3})","الصف {0}: عملة الحساب {1} ({2}) لا تتطابق مع عملة المعاملة ({3})"
"Party Type and Party can only be set for Receivable / Payable account","نوع الطرف والطرف يمكن إضافتهم فقط لحساب مدينة أو دائن"
